Scheme1,Date,Close,Adj Close,Current value Tata,Scheme 2,Close,Adj Close,Current Value Mahindra
Tata Motors,30/05/11,213.183395,202.943451,10000,M&M,332.299988,308.940033,10000
Tata Motors,31/05/11,216.735291,206.324738,,M&M,336.075012,312.449707,
Tata Motors,01/06/11,213.687988,203.423813,,M&M,337.825012,314.076691,
Tata Motors,02/06/11,207.415268,197.452377,,M&M,330.424988,307.196808,
Tata Motors,03/06/11,202.587051,192.856079,,M&M,333.600006,310.148651,
Tata Motors,06/06/11,202.567261,192.83725,,M&M,328.549988,305.453674,
Tata Motors,07/06/11,203.259842,193.496552,,M&M,331.450012,308.149841,
Tata Motors,08/06/11,203.526962,193.750854,,M&M,331.950012,308.614685,
Tata Motors,09/06/11,202.062668,192.356888,,M&M,332.325012,308.963257,
Tata Motors,10/06/11,201.755966,192.064911,,M&M,331.125,307.847687,
Tata Motors,13/06/11,199.91571,190.31308,,M&M,332.125,308.777283,
Tata Motors,14/06/11,194.711517,185.358856,,M&M,335.799988,312.194,
Tata Motors,15/06/11,196.719986,187.270828,,M&M,332.200012,308.847076,
Tata Motors,16/06/11,194.642273,185.292938,,M&M,329.125,305.98822,
Tata Motors,17/06/11,194.108002,184.784302,,M&M,322.475006,299.805725,
Tata Motors,20/06/11,184.224014,175.375076,,M&M,316.549988,294.297241,
Tata Motors,21/06/11,185.252975,176.35463,,M&M,316.899994,294.622589,
Tata Motors,22/06/11,185.193619,176.298126,,M&M,324.475006,301.665131,
Tata Motors,23/06/11,186.994293,178.012314,,M&M,325.75,302.850494,
Tata Motors,24/06/11,191.23877,182.052902,,M&M,336.100006,312.4729,
Tata Motors,27/06/11,193.474792,184.181534,,M&M,346.5,322.141846,
Tata Motors,28/06/11,194.850037,185.490707,,M&M,346.700012,322.327728,
Tata Motors,29/06/11,197.313614,187.835953,,M&M,345.75,321.444489,
Tata Motors,30/06/11,196.729874,187.280258,,M&M,350.649994,326.000061,
Tata Motors,01/07/11,196.828812,187.374435,,M&M,345.649994,321.351563,
Tata Motors,04/07/11,200.182831,190.567352,,M&M,350.674988,326.023315,
Tata Motors,05/07/11,201.033707,191.37738,,M&M,358.524994,333.321472,
Tata Motors,06/07/11,204.902222,195.060059,,M&M,357.625,332.484772,
Tata Motors,07/07/11,208.849869,198.818069,,M&M,363.075012,337.551636,
Tata Motors,08/07/11,208.562958,198.544952,,M&M,358.424988,333.228546,
Tata Motors,11/07/11,208.335388,198.328323,,M&M,362.475006,336.993805,
Tata Motors,12/07/11,202.804718,193.063293,,M&M,351.524994,326.813568,
Tata Motors,13/07/11,206.920563,196.98143,,M&M,359.274994,334.018768,
Tata Motors,14/07/11,211.353027,201.201004,,M&M,356.475006,331.877441,
Tata Motors,15/07/11,204.417419,194.598541,,M&M,359.424988,334.623871,
Tata Motors,18/07/11,200.806152,191.160751,,M&M,353.274994,328.898285,
Tata Motors,19/07/11,194.70163,189.07579,,M&M,357.975006,333.273987,
Tata Motors,20/07/11,191.713684,186.174194,,M&M,352.299988,327.990509,
Tata Motors,21/07/11,193.326385,187.740295,,M&M,350.975006,326.757019,
Tata Motors,22/07/11,197.274033,191.573883,,M&M,361.450012,336.509186,
Tata Motors,25/07/11,199.143982,193.389786,,M&M,374.075012,348.263031,
Tata Motors,26/07/11,192.544769,186.981262,,M&M,358.350006,333.623047,
Tata Motors,27/07/11,189.507339,184.031616,,M&M,358.424988,333.692902,
Tata Motors,28/07/11,188.122208,182.686493,,M&M,357.575012,332.901642,
